Mar  1 14:06:46 cs219-laptop kernel: [  165.583927] rraa: 06:20:a6:57:ff:32 : tx_count: 40963, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:47 cs219-laptop kernel: [  165.746162] rraa: 06:20:a6:57:ff:32 : tx_count: 42923, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 14:06:47 cs219-laptop kernel: [  165.750019] rraa: 06:20:a6:57:ff:32 : tx_count: 43003, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:48 cs219-laptop kernel: [  165.798414] rraa: 06:20:a6:57:ff:32 : tx_count: 43523, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 14:06:48 cs219-laptop kernel: [  165.806022] rraa: 06:20:a6:57:ff:32 : tx_count: 43643, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:48 cs219-laptop kernel: [  165.881723] rraa: 06:20:a6:57:ff:32 : tx_count: 44363, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 14:06:48 cs219-laptop kernel: [  165.887927] rraa: 06:20:a6:57:ff:32 : tx_count: 44483, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:50 cs219-laptop kernel: [  166.034359] rraa: 06:20:a6:57:ff:32 : tx_count: 46203, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 14:06:50 cs219-laptop kernel: [  166.036842] rraa: 06:20:a6:57:ff:32 : tx_count: 46243, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:50 cs219-laptop kernel: [  166.068678] rraa: 06:20:a6:57:ff:32 : tx_count: 46563, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 14:06:50 cs219-laptop kernel: [  166.075050] rraa: 06:20:a6:57:ff:32 : tx_count: 46603, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:51 cs219-laptop kernel: [  166.238287] rraa: 06:20:a6:57:ff:32 : tx_count: 48443, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 14:06:51 cs219-laptop kernel: [  166.240166] rraa: 06:20:a6:57:ff:32 : tx_count: 48483, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 14:06:53 cs219-laptop kernel: [  166.449994] rraa: 06:20:a6:57:ff:32 : tx_count: 50963, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 14:06:53 cs219-laptop kernel: [  166.463041] rraa: 06:20:a6:57:ff:32 : tx_count: 51043, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 14:06:53 cs219-laptop kernel: [  166.475333] rraa: 06:20:a6:57:ff:32 : tx_count: 51203, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 14:06:53 cs219-laptop kernel: [  166.480842] rraa: 06:20:a6:57:ff:32 : tx_count: 51243, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 14:06:53 cs219-laptop kernel: [  166.494485] rraa: 06:20:a6:57:ff:32 : tx_count: 51403, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 14:06:53 cs219-laptop kernel: [  166.496660] rraa: 06:20:a6:57:ff:32 : tx_count: 51443, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:53 cs219-laptop kernel: [  166.521871] rraa: 06:20:a6:57:ff:32 : tx_count: 51643, tx_rate: 48M, loss ratio: 25, window size: 40
Mar  1 14:06:53 cs219-laptop kernel: [  166.534763] rraa: 06:20:a6:57:ff:32 : tx_count: 51843, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:54 cs219-laptop kernel: [  166.604373] rraa: 06:20:a6:57:ff:32 : tx_count: 52683, tx_rate: 48M, loss ratio: 14, window size: 40
