Mar  1 19:38:07 cs219-laptop kernel: [   26.573762] rraa: 06:20:a6:57:ff:32 : tx_count: 16050, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:07 cs219-laptop kernel: [   26.593613] rraa: 06:20:a6:57:ff:32 : tx_count: 16250, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:08 cs219-laptop kernel: [   26.615231] rraa: 06:20:a6:57:ff:32 : tx_count: 16410, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:38:08 cs219-laptop kernel: [   26.727936] rraa: 06:20:a6:57:ff:32 : tx_count: 17490, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:08 cs219-laptop kernel: [   26.732240] rraa: 06:20:a6:57:ff:32 : tx_count: 17530, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 19:38:08 cs219-laptop kernel: [   26.749594] rraa: 06:20:a6:57:ff:32 : tx_count: 17610, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:09 cs219-laptop kernel: [   26.758356] rraa: 06:20:a6:57:ff:32 : tx_count: 17690, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:09 cs219-laptop kernel: [   26.767009] rraa: 06:20:a6:57:ff:32 : tx_count: 17770, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:09 cs219-laptop kernel: [   26.772202] rraa: 06:20:a6:57:ff:32 : tx_count: 17810, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:09 cs219-laptop kernel: [   26.818749] rraa: 06:20:a6:57:ff:32 : tx_count: 18210, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:09 cs219-laptop kernel: [   26.829990] rraa: 06:20:a6:57:ff:32 : tx_count: 18290, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 19:38:09 cs219-laptop kernel: [   26.839164] rraa: 06:20:a6:57:ff:32 : tx_count: 18370, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:09 cs219-laptop kernel: [   26.844061] rraa: 06:20:a6:57:ff:32 : tx_count: 18410, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:09 cs219-laptop kernel: [   26.901656] rraa: 06:20:a6:57:ff:32 : tx_count: 18850, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:09 cs219-laptop kernel: [   26.910049] rraa: 06:20:a6:57:ff:32 : tx_count: 18930, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:10 cs219-laptop kernel: [   26.953577] rraa: 06:20:a6:57:ff:32 : tx_count: 19330, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:10 cs219-laptop kernel: [   26.974256] rraa: 06:20:a6:57:ff:32 : tx_count: 19530, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:10 cs219-laptop kernel: [   26.982987] rraa: 06:20:a6:57:ff:32 : tx_count: 19570, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:38:10 cs219-laptop kernel: [   26.992234] rraa: 06:20:a6:57:ff:32 : tx_count: 19650, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:10 cs219-laptop kernel: [   27.005629] rraa: 06:20:a6:57:ff:32 : tx_count: 19770, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:38:10 cs219-laptop kernel: [   27.013932] rraa: 06:20:a6:57:ff:32 : tx_count: 19850, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:10 cs219-laptop kernel: [   27.030225] rraa: 06:20:a6:57:ff:32 : tx_count: 20010, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:10 cs219-laptop kernel: [   27.038245] rraa: 06:20:a6:57:ff:32 : tx_count: 20090, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:11 cs219-laptop kernel: [   27.072486] rraa: 06:20:a6:57:ff:32 : tx_count: 20370, tx_rate: 48M, loss ratio: 23, window size: 40
