Mar  1 13:03:29 cs219-laptop kernel: [   39.112310] rraa: 06:20:a6:57:ff:32 : tx_count: 9865, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 13:03:29 cs219-laptop kernel: [   39.116008] rraa: 06:20:a6:57:ff:32 : tx_count: 9905, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 13:03:29 cs219-laptop kernel: [   39.118103] rraa: 06:20:a6:57:ff:32 : tx_count: 9945, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:29 cs219-laptop kernel: [   39.120222] rraa: 06:20:a6:57:ff:32 : tx_count: 9985, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 13:03:29 cs219-laptop kernel: [   39.132483] rraa: 06:20:a6:57:ff:32 : tx_count: 10105, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:03:30 cs219-laptop kernel: [   39.277250] rraa: 06:20:a6:57:ff:32 : tx_count: 11505, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 13:03:30 cs219-laptop kernel: [   39.284776] rraa: 06:20:a6:57:ff:32 : tx_count: 11625, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 13:03:30 cs219-laptop kernel: [   39.541037] rraa: 06:20:a6:57:ff:32 : tx_count: 12465, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 13:03:30 cs219-laptop kernel: [   39.557982] rraa: 06:20:a6:57:ff:32 : tx_count: 12665, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 13:03:30 cs219-laptop kernel: [   39.566049] rraa: 06:20:a6:57:ff:32 : tx_count: 12785, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 13:03:30 cs219-laptop kernel: [   39.580204] rraa: 06:20:a6:57:ff:32 : tx_count: 12945, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:31 cs219-laptop kernel: [   39.598656] rraa: 06:20:a6:57:ff:32 : tx_count: 13185, tx_rate: 48M, loss ratio: 11, window size: 40
