Mar 10 19:28:03 cs219-laptop kernel: [  542.342647] rraac6: 06:20:a6:57:ff:32 : tx_count: 16971, tx_rate: 6M, loss ratio: 100, window size: 6
Mar 10 19:28:04 cs219-laptop kernel: [  542.349347] rraac6: 06:20:a6:57:ff:32 : tx_count: 16971, tx_rate: 5M, loss ratio: 100, window size: 6
Mar 10 19:28:04 cs219-laptop kernel: [  542.352154] rraac6: 06:20:a6:57:ff:32 : tx_count: 16971, tx_rate: 2M, loss ratio: 100, window size: 6
Mar 10 19:28:04 cs219-laptop kernel: [  542.357419] rraac6: 06:20:a6:57:ff:32 : tx_count: 16971, tx_rate: 1M, loss ratio: 100, window size: 6
Mar 10 19:28:05 cs219-laptop kernel: [  542.371186] rraac6: 00:16:44:b4:e3:2c : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:28:12 cs219-laptop kernel: [  542.585700] rraac6: 06:20:a6:57:ff:32 : tx_count: 16986, tx_rate: 2M, loss ratio: 0, window size: 6
Mar 10 19:28:14 cs219-laptop kernel: [  542.642126] rraac6: 00:12:f0:98:26:43 : tx_count: 445, tx_rate: 2M, loss ratio: 0, window size: 6
Mar 10 19:28:14 cs219-laptop kernel: [  542.642148] rraac6: 00:12:f0:98:10:f5 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:28:14 cs219-laptop kernel: [  542.646143] rraac6: 00:12:f0:98:26:43 : tx_count: 448, tx_rate: 1M, loss ratio: 94, window size: 6
Mar 10 19:28:14 cs219-laptop kernel: [  542.650520] rraac6: 00:12:f0:98:26:43 : tx_count: 454, tx_rate: 2M, loss ratio: 0, window size: 6
Mar 10 19:28:16 cs219-laptop kernel: [  542.688815] rraac6: 00:12:f0:98:26:43 : tx_count: 458, tx_rate: 1M, loss ratio: 84, window size: 6
Mar 10 19:28:16 cs219-laptop kernel: [  542.689947] rraac6: 06:20:a6:57:ff:32 : tx_count: 17046, tx_rate: 5M, loss ratio: 0, window size: 6
Mar 10 19:28:16 cs219-laptop kernel: [  542.693023] rraac6: 00:12:f0:98:10:f5 : tx_count: 34, tx_rate: 36M, loss ratio: 75, window size: 40
Mar 10 19:28:17 cs219-laptop kernel: [  542.752591] rraac6: 06:20:a6:57:ff:32 : tx_count: 17088, tx_rate: 6M, loss ratio: 0, window size: 6
Mar 10 19:28:17 cs219-laptop kernel: [  542.754938] rraac6: 06:20:a6:57:ff:32 : tx_count: 17100, tx_rate: 9M, loss ratio: 0, window size: 10
Mar 10 19:28:18 cs219-laptop kernel: [  542.759683] rraac6: 06:20:a6:57:ff:32 : tx_count: 17120, tx_rate: 11M, loss ratio: 0, window size: 15
Mar 10 19:28:19 cs219-laptop kernel: [  542.812203] rraac6: 06:20:a6:57:ff:32 : tx_count: 17164, tx_rate: 9M, loss ratio: 68, window size: 10
Mar 10 19:28:22 cs219-laptop kernel: [  542.976811] rraac6: 06:20:a6:57:ff:32 : tx_count: 17274, tx_rate: 11M, loss ratio: 0, window size: 15
Mar 10 19:28:22 cs219-laptop kernel: [  542.980897] rraac6: 06:20:a6:57:ff:32 : tx_count: 17304, tx_rate: 12M, loss ratio: 0, window size: 20
Mar 10 19:28:30 cs219-laptop kernel: [  543.203127] rraac6: 06:20:a6:57:ff:32 : tx_count: 17743, tx_rate: 11M, loss ratio: 66, window size: 15
Mar 10 19:28:30 cs219-laptop kernel: [  543.209966] rraac6: 00:12:f0:98:26:43 : tx_count: 529, tx_rate: 2M, loss ratio: 0, window size: 6
Mar 10 19:28:30 cs219-laptop kernel: [  543.226010] rraac6: 00:12:f0:98:26:43 : tx_count: 533, tx_rate: 1M, loss ratio: 89, window size: 6
Mar 10 19:28:33 cs219-laptop kernel: [  543.326532] rraac6: 06:20:a6:57:ff:32 : tx_count: 18013, tx_rate: 12M, loss ratio: 0, window size: 20
Mar 10 19:28:34 cs219-laptop kernel: [  543.357389] rraac6: 00:21:00:5e:ef:83 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:28:36 cs219-laptop kernel: [  543.395301] rraac6: 00:17:c4:04:53:ee : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:28:43 cs219-laptop kernel: [  543.625480] rraac6: 00:11:50:13:9b:e2 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:28:46 cs219-laptop kernel: [  543.741163] rraac6: 06:20:a6:57:ff:32 : tx_count: 18772, tx_rate: 11M, loss ratio: 55, window size: 15
Mar 10 19:28:48 cs219-laptop kernel: [  543.782536] rraac6: 06:20:a6:57:ff:32 : tx_count: 18862, tx_rate: 12M, loss ratio: 0, window size: 20
Mar 10 19:28:49 cs219-laptop kernel: [  543.814121] rraac6: 06:20:a6:57:ff:32 : tx_count: 18921, tx_rate: 11M, loss ratio: 55, window size: 15
Mar 10 19:28:51 cs219-laptop kernel: [  543.861519] rraac6: 06:20:a6:57:ff:32 : tx_count: 19026, tx_rate: 12M, loss ratio: 0, window size: 20
Mar 10 19:28:54 cs219-laptop kernel: [  544.047438] rraac6: 06:20:a6:57:ff:32 : tx_count: 19205, tx_rate: 11M, loss ratio: 59, window size: 15
Mar 10 19:29:05 cs219-laptop kernel: [  544.381033] rraac6: 06:20:a6:57:ff:32 : tx_count: 19820, tx_rate: 12M, loss ratio: 0, window size: 20
Mar 10 19:29:06 cs219-laptop kernel: [  544.409014] rraac6: 06:20:a6:57:ff:32 : tx_count: 19919, tx_rate: 11M, loss ratio: 66, window size: 15
Mar 10 19:29:07 cs219-laptop kernel: [  544.473869] rraac6: 00:12:f0:98:26:43 : tx_count: 695, tx_rate: 2M, loss ratio: 0, window size: 6
Mar 10 19:29:07 cs219-laptop kernel: [  544.475543] rraac6: 06:20:a6:57:ff:32 : tx_count: 20069, tx_rate: 12M, loss ratio: 0, window size: 20
Mar 10 19:29:11 cs219-laptop kernel: [  544.571742] rraac6: 00:12:f0:98:26:43 : tx_count: 708, tx_rate: 1M, loss ratio: 93, window size: 6
Mar 10 19:29:13 cs219-laptop kernel: [  544.640860] rraac6: 00:12:f0:98:26:43 : tx_count: 719, tx_rate: 2M, loss ratio: 0, window size: 6
Mar 10 19:29:14 cs219-laptop kernel: [  544.676161] rraac6: 00:12:f0:98:26:43 : tx_count: 723, tx_rate: 1M, loss ratio: 85, window size: 6
Mar 10 19:29:15 cs219-laptop kernel: [  544.700606] rraac6: 00:22:69:68:8e:b8 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:29:24 cs219-laptop kernel: [  544.993428] rraac6: 00:1c:b3:c0:2f:8a : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:29:34 cs219-laptop kernel: [  545.320265] rraac6: 00:23:4d:79:01:32 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:29:47 cs219-laptop kernel: [  545.703562] rraac6: 00:12:f0:12:69:85 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:29:50 cs219-laptop kernel: [  545.761144] rraac6: 00:18:41:c7:c4:db : tx_count: 1, tx_rate: 48M, loss ratio: 85, window size: 40
Mar 10 19:29:58 cs219-laptop kernel: [  545.984948] rraac6: 00:12:f0:98:26:43 : tx_count: 944, tx_rate: 2M, loss ratio: 0, window size: 6
Mar 10 19:30:01 cs219-laptop kernel: [  546.073657] rraac6: 00:12:f0:98:26:43 : tx_count: 961, tx_rate: 1M, loss ratio: 80, window size: 6
Mar 10 19:30:12 cs219-laptop kernel: [  546.381830] rraac6: 00:12:f0:98:26:43 : tx_count: 1025, tx_rate: 2M, loss ratio: 0, window size: 6
Mar 10 19:30:13 cs219-laptop kernel: [  546.405472] rraac6: 00:12:f0:98:26:43 : tx_count: 1031, tx_rate: 5M, loss ratio: 0, window size: 6
Mar 10 19:30:18 cs219-laptop kernel: [  546.530194] rraac6: 00:12:f0:98:26:43 : tx_co
