Mar 10 20:44:20 cs219-laptop kernel: [ 1061.644134] rraa: 06:20:a6:57:ff:32 : tx_count: 1450, tx_rate: 11M, loss ratio: 0, window size: 15
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.648024] rraa: 06:20:a6:57:ff:32 : tx_count: 1464, tx_rate: 9M, loss ratio: 51, window size: 10
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.650954] rraa: 06:20:a6:57:ff:32 : tx_count: 1471, tx_rate: 6M, loss ratio: 87, window size: 6
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.652461] rraa: 06:20:a6:57:ff:32 : tx_count: 1475, tx_rate: 5M, loss ratio: 88, window size: 6
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.658457] rraa: 06:20:a6:57:ff:32 : tx_count: 1480, tx_rate: 2M, loss ratio: 81, window size: 6
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.658469] rraa: 00:12:f0:98:26:43 : tx_count: 87, tx_rate: 11M, loss ratio: 93, window size: 15
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.658500] rraa: 06:20:a6:57:ff:32 : tx_count: 1484, tx_rate: 1M, loss ratio: 85, window size: 6
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.663099] rraa: 06:20:a6:57:ff:32 : tx_count: 1497, tx_rate: 2M, loss ratio: 0, window size: 6
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.664487] rraa: 06:20:a6:57:ff:32 : tx_count: 1501, tx_rate: 1M, loss ratio: 90, window size: 6
Mar 10 20:44:21 cs219-laptop kernel: [ 1061.689869] rraa: 06:20:a6:57:ff:32 : tx_count: 1521, tx_rate: 2M, loss ratio: 33, window size: 6
Mar 10 20:44:22 cs219-laptop kernel: [ 1061.710530] rraa: 06:20:a6:57:ff:32 : tx_count: 1527, tx_rate: 1M, loss ratio: 66, window size: 6
Mar 10 20:44:22 cs219-laptop kernel: [ 1061.715055] rraa: 06:20:a6:57:ff:32 : tx_count: 1539, tx_rate: 2M, loss ratio: 0, window size: 6
Mar 10 20:44:22 cs219-laptop kernel: [ 1061.718451] rraa: 06:20:a6:57:ff:32 : tx_count: 1545, tx_rate: 1M, loss ratio: 60, window size: 6
Mar 10 20:44:23 cs219-laptop kernel: [ 1061.736445] rraa: 06:20:a6:57:ff:32 : tx_count: 1575, tx_rate: 2M, loss ratio: 33, window size: 6
Mar 10 20:44:23 cs219-laptop kernel: [ 1061.740797] rraa: 06:20:a6:57:ff:32 : tx_count: 1580, tx_rate: 1M, loss ratio: 72, window size: 6
Mar 10 20:44:23 cs219-laptop kernel: [ 1061.751464] rraa: 06:20:a6:57:ff:32 : tx_count: 1596, tx_rate: 2M, loss ratio: 33, window size: 6
Mar 10 20:44:23 cs219-laptop kernel: [ 1061.756372] rraa: 06:20:a6:57:ff:32 : tx_count: 1602, tx_rate: 5M, loss ratio: 14, window size: 6
Mar 10 20:44:23 cs219-laptop kernel: [ 1061.758649] rraa: 06:20:a6:57:ff:32 : tx_count: 1608, tx_rate: 6M, loss ratio: 25, window size: 6
Mar 10 20:44:23 cs219-laptop kernel: [ 1061.760811] rraa: 06:20:a6:57:ff:32 : tx_count: 1614, tx_rate: 9M, loss ratio: 33, window size: 10
Mar 10 20:44:24 cs219-laptop kernel: [ 1061.766772] rraa: 06:20:a6:57:ff:32 : tx_count: 1624, tx_rate: 6M, loss ratio: 44, window size: 6
Mar 10 20:44:24 cs219-laptop kernel: [ 1061.769659] rraa: 00:12:f0:98:26:43 : tx_count: 92, tx_rate: 9M, loss ratio: 95, window size: 10
Mar 10 20:44:24 cs219-laptop kernel: [ 1061.769692] rraa: 06:20:a6:57:ff:32 : tx_count: 1630, tx_rate: 5M, loss ratio: 40, window size: 6
Mar 10 20:44:24 cs219-laptop kernel: [ 1061.773489] rraa: 06:20:a6:57:ff:32 : tx_count: 1636, tx_rate: 2M, loss ratio: 57, window size: 6
Mar 10 20:44:24 cs219-laptop kernel: [ 1061.775143] rraa: 06:20:a6:57:ff:32 : tx_count: 1642, tx_rate: 5M, loss ratio: 33, window size: 6
Mar 10 20:44:24 cs219-laptop kernel: [ 1061.776558] rraa: 06:20:a6:57:ff:32 : tx_count: 1648, tx_rate: 6M, loss ratio: 14, window size: 6
Mar 10 20:44:24 cs219-laptop kernel: [ 1061.777991] rraa: 06:20:a6:57:ff:32 : tx_count: 1654, tx_rate: 5M, loss ratio: 60, window size: 6
Mar 10 20:44:24 cs219-laptop kernel: [ 1061.781711] rraa: 06:20:a6:57:ff:32 : tx_count: 1659, tx_rate: 2M, loss ratio: 73, window size: 6
Mar 10 20:44:24 cs219-laptop kernel: [ 1061.783091] rraa: 06:20:a6:57:ff:32 : tx_count: 1665, tx_rate: 5M, loss ratio: 0, window size: 6
Mar 10 20:44:24 cs219-laptop kernel: [ 1061.783948] rraa: 06:20:a6:57:ff:32 : tx_count: 1671, tx_rate: 6M, loss ratio: 0, window size: 6
Mar 10 20:44:24 cs219-laptop kernel: [ 1061.785473] rraa: 06:20:a6:57:ff:32 : tx_count: 1677, tx_rate: 9M, loss ratio: 0, window size: 10
Mar 10 20:44:24 cs219-laptop kernel: [ 1061.788403] rraa: 00:12:f0:98:26:43 : tx_count: 99, tx_rate: 6M, loss ratio: 86, window size: 6
Mar 10 20:44:25 cs219-laptop kernel: [ 1061.795916] rraa: 06:20:a6:57:ff:32 : tx_count: 1707, tx_rate: 6M, loss ratio: 44, window size: 6
Mar 10 20:44:25 cs219-laptop kernel: [ 1061.799543] rraa: 06:20:a6:57:ff:32 : tx_count: 1713, tx_rate: 9M, loss ratio: 25, window size: 10
Mar 10 20:44:25 cs219-laptop kernel: [ 1061.803999] rraa: 06:20:a6:57:ff:32 : tx_count: 1733, tx_rate: 6M, loss ratio: 61, window size: 6
