Mar  7 17:08:51 cs219-laptop kernel: [ 1061.011283] rraa: 06:20:a6:57:ff:32 : tx_count: 1493, tx_rate: 36M, loss ratio: 9, window size: 40
Mar  7 17:08:52 cs219-laptop kernel: [ 1061.459609] rraa: 06:20:a6:57:ff:32 : tx_count: 1533, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  7 17:08:52 cs219-laptop kernel: [ 1061.907935] rraa: 06:20:a6:57:ff:32 : tx_count: 1568, tx_rate: 36M, loss ratio: 83, window size: 40
Mar  7 17:08:53 cs219-laptop kernel: [ 1062.356262] rraa: 06:20:a6:57:ff:32 : tx_count: 1608, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  7 17:08:53 cs219-laptop kernel: [ 1062.811724] rraa: 06:20:a6:57:ff:32 : tx_count: 1639, tx_rate: 36M, loss ratio: 86, window size: 40
Mar  7 17:08:54 cs219-laptop kernel: [ 1063.701243] rraa: 06:20:a6:57:ff:32 : tx_count: 1717, tx_rate: 24M, loss ratio: 45, window size: 40
Mar  7 17:08:55 cs219-laptop kernel: [ 1064.149569] rraa: 06:20:a6:57:ff:32 : tx_count: 1757, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  7 17:08:56 cs219-laptop kernel: [ 1065.483344] rraa: 06:20:a6:57:ff:32 : tx_count: 1875, tx_rate: 24M, loss ratio: 49, window size: 40
Mar  7 17:08:56 cs219-laptop kernel: [ 1065.931671] rraa: 06:20:a6:57:ff:32 : tx_count: 1915, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  7 17:08:57 cs219-laptop kernel: [ 1066.828325] rraa: 06:20:a6:57:ff:32 : tx_count: 1995, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  7 17:08:58 cs219-laptop kernel: [ 1067.276650] rraa: 06:20:a6:57:ff:32 : tx_count: 1998, tx_rate: 36M, loss ratio: 99, window size: 40
Mar  7 17:08:59 cs219-laptop kernel: [ 1068.173305] rraa: 06:20:a6:57:ff:32 : tx_count: 2077, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  7 17:08:59 cs219-laptop kernel: [ 1068.621633] rraa: 06:20:a6:57:ff:32 : tx_count: 2098, tx_rate: 36M, loss ratio: 93, window size: 40
Mar  7 17:08:59 cs219-laptop kernel: [ 1069.069975] rraa: 06:20:a6:57:ff:32 : tx_count: 2138, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  7 17:09:00 cs219-laptop kernel: [ 1069.518285] rraa: 06:20:a6:57:ff:32 : tx_count: 2141, tx_rate: 36M, loss ratio: 99, window size: 40
