Mar 10 19:06:54 cs219-laptop kernel: [  295.282833] rraa: 06:20:a6:57:ff:32 : tx_count: 3283, tx_rate: 11M, loss ratio: 9, window size: 15
Mar 10 19:06:54 cs219-laptop kernel: [  295.284655] rraa: 06:20:a6:57:ff:32 : tx_count: 3298, tx_rate: 12M, loss ratio: 6, window size: 20
Mar 10 19:06:54 cs219-laptop kernel: [  295.288883] rraa: 06:20:a6:57:ff:32 : tx_count: 3318, tx_rate: 18M, loss ratio: 16, window size: 20
Mar 10 19:06:55 cs219-laptop kernel: [  295.315960] rraa: 06:20:a6:57:ff:32 : tx_count: 3458, tx_rate: 12M, loss ratio: 44, window size: 20
Mar 10 19:06:55 cs219-laptop kernel: [  295.329688] rraa: 06:20:a6:57:ff:32 : tx_count: 3538, tx_rate: 11M, loss ratio: 35, window size: 15
Mar 10 19:06:55 cs219-laptop kernel: [  295.331717] rraa: 06:20:a6:57:ff:32 : tx_count: 3553, tx_rate: 9M, loss ratio: 34, window size: 10
Mar 10 19:06:56 cs219-laptop kernel: [  295.339514] rraa: 06:20:a6:57:ff:32 : tx_count: 3603, tx_rate: 11M, loss ratio: 9, window size: 15
Mar 10 19:06:56 cs219-laptop kernel: [  295.344487] rraa: 06:20:a6:57:ff:32 : tx_count: 3618, tx_rate: 9M, loss ratio: 55, window size: 10
Mar 10 19:06:56 cs219-laptop kernel: [  295.350043] rraa: 06:20:a6:57:ff:32 : tx_count: 3638, tx_rate: 6M, loss ratio: 61, window size: 6
Mar 10 19:06:56 cs219-laptop kernel: [  295.350081] rraa: 06:20:a6:57:ff:32 : tx_count: 3644, tx_rate: 9M, loss ratio: 0, window size: 10
Mar 10 19:06:56 cs219-laptop kernel: [  295.377806] rraa: 06:20:a6:57:ff:32 : tx_count: 3704, tx_rate: 6M, loss ratio: 44, window size: 6
Mar 10 19:06:56 cs219-laptop kernel: [  295.377850] rraa: 06:20:a6:57:ff:32 : tx_count: 3710, tx_rate: 5M, loss ratio: 40, window size: 6
Mar 10 19:06:56 cs219-laptop kernel: [  295.379278] rraa: 06:20:a6:57:ff:32 : tx_count: 3716, tx_rate: 6M, loss ratio: 33, window size: 6
Mar 10 19:06:57 cs219-laptop kernel: [  295.409820] rraa: 06:20:a6:57:ff:32 : tx_count: 3722, tx_rate: 9M, loss ratio: 14, window size: 10
Mar 10 19:06:57 cs219-laptop kernel: [  295.423078] rraa: 06:20:a6:57:ff:32 : tx_count: 3752, tx_rate: 6M, loss ratio: 58, window size: 6
Mar 10 19:06:57 cs219-laptop kernel: [  295.430230] rraa: 06:20:a6:57:ff:32 : tx_count: 3758, tx_rate: 5M, loss ratio: 57, window size: 6
Mar 10 19:06:57 cs219-laptop kernel: [  295.432522] rraa: 06:20:a6:57:ff:32 : tx_count: 3764, tx_rate: 2M, loss ratio: 64, window size: 6
Mar 10 19:06:57 cs219-laptop kernel: [  295.434123] rraa: 06:20:a6:57:ff:32 : tx_count: 3770, tx_rate: 1M, loss ratio: 68, window size: 6
Mar 10 19:06:57 cs219-laptop kernel: [  295.435741] rraa: 06:20:a6:57:ff:32 : tx_count: 3776, tx_rate: 2M, loss ratio: 25, window size: 6
Mar 10 19:06:58 cs219-laptop kernel: [  295.443858] rraa: 06:20:a6:57:ff:32 : tx_count: 3782, tx_rate: 1M, loss ratio: 68, window size: 6
Mar 10 19:06:58 cs219-laptop kernel: [  295.446154] rraa: 06:20:a6:57:ff:32 : tx_count: 3788, tx_rate: 2M, loss ratio: 0, window size: 6
Mar 10 19:06:58 cs219-laptop kernel: [  295.446873] rraa: 06:20:a6:57:ff:32 : tx_count: 3794, tx_rate: 1M, loss ratio: 50, window size: 6
Mar 10 19:06:58 cs219-laptop kernel: [  295.448322] rraa: 06:20:a6:57:ff:32 : tx_count: 3800, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 19:06:58 cs219-laptop kernel: [  295.449333] rraa: 06:20:a6:57:ff:32 : tx_count: 3806, tx_rate: 5M, loss ratio: 0, window size: 6
Mar 10 19:06:58 cs219-laptop kernel: [  295.458142] rraa: 06:20:a6:57:ff:32 : tx_count: 3812, tx_rate: 6M, loss ratio: 14, window size: 6
Mar 10 19:06:58 cs219-laptop kernel: [  295.461149] rraa: 06:20:a6:57:ff:32 : tx_count: 3818, tx_rate: 9M, loss ratio: 0, window size: 10
Mar 10 19:06:58 cs219-laptop kernel: [  295.466720] rraa: 06:20:a6:57:ff:32 : tx_count: 3828, tx_rate: 11M, loss ratio: 9, window size: 15
Mar 10 19:06:59 cs219-laptop kernel: [  295.476278] rraa: 06:20:a6:57:ff:32 : tx_count: 3843, tx_rate: 12M, loss ratio: 11, window size: 20
Mar 10 19:06:59 cs219-laptop kernel: [  295.482294] rraa: 06:20:a6:57:ff:32 : tx_count: 3863, tx_rate: 11M, loss ratio: 35, window size: 15
Mar 10 19:06:59 cs219-laptop kernel: [  295.495076] rraa: 06:20:a6:57:ff:32 : tx_count: 3938, tx_rate: 12M, loss ratio: 11, window size: 20
Mar 10 19:06:59 cs219-laptop kernel: [  295.498959] rraa: 06:20:a6:57:ff:32 : tx_count: 3958, tx_rate: 18M, loss ratio: 9, window size: 20
Mar 10 19:07:00 cs219-laptop kernel: [  295.504031] rraa: 06:20:a6:57:ff:32 : tx_count: 3978, tx_rate: 24M, loss ratio: 9, window size: 40
Mar 10 19:07:00 cs219-laptop kernel: [  295.516264] rraa: 00:13:e8:1d:6a:29 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:07:00 cs219-laptop kernel: [  295.518536] rraa: 06:20:a6:57:ff:32 : tx_count: 4098, tx_rate: 18M, loss ratio: 34, window size: 20
Mar 10 19:07:00 cs219-laptop kernel: [  295.520372] rraa: 06:20:a6:57:ff:32 : tx_count: 4118, tx_rate: 24M, loss ratio: 4, window size: 40
Mar 10 19:07:01 cs219-laptop kernel: [  295.551365] rraa: 06:20:a6:57:ff:32 : tx_count: 4198, tx_rate: 18M, loss ratio: 31, window size: 20
Mar 10 19:07:02 cs219-laptop kernel: [  295.592270] rraa: 06:20:a6:57:ff:32 : tx_count: 4258, tx_rate: 12M, loss ratio: 48, window size: 20
Mar 10 19:07:02 cs219-laptop kernel: [  295.598307] rraa: 06:20:a6:57:ff:32 : tx_count: 4298, tx_rate: 18M, loss ratio: 13, window size: 20
Mar 10 19:07:02 cs219-laptop kernel: [  295.615313] rraa: 06:20:a6:57:ff:32 : tx_count: 4438, tx_rate: 12M, loss ratio: 39, window size: 20
Mar 10 19:07:02 cs219-laptop kernel: [  295.623472] rraa: 06:20:a6:57:ff:32 : tx_count: 4518, tx_rate: 11M, loss ratio: 35, window size: 15
Mar 10 19:07:02 cs219-laptop kernel: [  295.626387] rraa: 06:20:a6:57:ff:32 : tx_count: 4533, tx_rate: 9M, loss ratio: 44, window size: 10
Mar 10 19:07:02 cs219-laptop kernel: [  295.627731] rraa: 06:20:a6:57:ff:32 : tx_count: 4543, tx_rate: 11M, loss ratio: 0, window size: 15
Mar 10 19:07:03 cs219-laptop kernel: [  295.644348] rraa: 06:20:a6:57:ff:32 : tx_count: 4558, tx_rate: 12M, loss ratio: 6, window size: 20
Mar 10 19:07:03 cs219-laptop kernel: [  295.718679] rraa: 00:1c:b3:c0:2f:8a : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:07:05 cs219-laptop kernel: [  295.893570] rraac6: calling from giwrts, rts = 2346
Mar 10 19:07:05 cs219-laptop kernel: [  295.893576] rraac6: calling from giwrts, disabled = 1, 
Mar 10 19:07:05 cs219-laptop kernel: [  295.893578] rraac6: calling from giwfrag, rts = 2346
Mar 10 19:07:05 cs219-laptop kernel: [  295.893580] rraac6: calling from giwfrag, disabled = 1
Mar 10 19:07:05 cs219-laptop kernel: [  295.897261] rraa: 06:20:a6:57:ff:32 : tx_count: 4578, tx_rate: 11M, loss ratio: 37, window size: 15
Mar 10 19:07:05 cs219-laptop kernel: [  295.913877] rraa: 06:20:a6:57:ff:32 : tx_count: 4593, tx_rate: 9M, loss ratio: 68, window size: 10
Mar 10 19:07:05 cs219-laptop kernel: [  295.915410] rraa: 06:20:a6:57:ff:32 : tx_count: 4603, tx_rate: 6M, loss ratio: 44, window size: 6
Mar 10 19:07:05 cs219-laptop kernel: [  295.918854] rraa: 06:20:a6:57:ff:32 : tx_count: 4609, tx_rate: 9M, loss ratio: 14, window size: 10
Mar 10 19:07:05 cs219-laptop kernel: [  295.920436] rraa: 06:20:a6:57:ff:32 : tx_count: 4619, tx_rate: 6M, loss ratio: 66, window size: 6
Mar 10 19:07:05 cs219-laptop kernel: [  295.921822] rraa: 06:20:a6:57:ff:32 : tx_count: 4625, tx_rate: 5M, loss ratio: 45, window size: 6
Mar 10 19:07:05 cs219-laptop kernel: [  295.922637] rraa: 06:20:a6:57:ff:32 : tx_count: 4631, tx_rate: 2M, loss ratio: 53, window size: 6
Mar 10 19:07:05 cs219-laptop kernel: [  295.926956] rraa: 06:20:a6:57:ff:32 : tx_count: 4637, tx_rate: 1M, loss ratio: 60, window size: 6
Mar 10 19:07:05 cs219-laptop kernel: [  295.931020] rraa: 06:20:a6:57:ff:32 : tx_count: 4655, tx_rate: 2M, loss ratio: 33, window size: 6
