Mar 13 23:05:09 cs219-laptop kernel: [  436.589884] rraa: 06:20:a6:57:ff:32 : tx_count: 4597, tx_rate: 18M, loss ratio: 9, window size: 20
Mar 13 23:05:09 cs219-laptop kernel: [  436.603807] rraa: 06:20:a6:57:ff:32 : tx_count: 4637, tx_rate: 24M, loss ratio: 0, window size: 40
Mar 13 23:05:09 cs219-laptop kernel: [  436.606509] rraa: 06:20:a6:57:ff:32 : tx_count: 4677, tx_rate: 36M, loss ratio: 4, window size: 40
Mar 13 23:05:09 cs219-laptop kernel: [  436.618454] rraa: 06:20:a6:57:ff:32 : tx_count: 4717, tx_rate: 24M, loss ratio: 50, window size: 40
Mar 13 23:05:09 cs219-laptop kernel: [  436.621350] rraa: 06:20:a6:57:ff:32 : tx_count: 4757, tx_rate: 36M, loss ratio: 14, window size: 40
Mar 13 23:05:09 cs219-laptop kernel: [  436.627153] rraa: 06:20:a6:57:ff:32 : tx_count: 4837, tx_rate: 48M, loss ratio: 11, window size: 40
Mar 13 23:05:09 cs219-laptop kernel: [  436.629792] rraa: 06:20:a6:57:ff:32 : tx_count: 4877, tx_rate: 54M, loss ratio: 2, window size: 40
Mar 13 23:05:10 cs219-laptop kernel: [  436.637616] rraa: 06:20:a6:57:ff:32 : tx_count: 4957, tx_rate: 48M, loss ratio: 29, window size: 40
Mar 13 23:05:10 cs219-laptop kernel: [  436.645680] rraa: 06:20:a6:57:ff:32 : tx_count: 4996, tx_rate: 36M, loss ratio: 44, window size: 40
Mar 13 23:05:10 cs219-laptop kernel: [  436.654845] rraa: 06:20:a6:57:ff:32 : tx_count: 5074, tx_rate: 24M, loss ratio: 51, window size: 40
Mar 13 23:05:11 cs219-laptop kernel: [  436.672047] rraa: 06:20:a6:57:ff:32 : tx_count: 5113, tx_rate: 18M, loss ratio: 59, window size: 20
Mar 13 23:05:11 cs219-laptop kernel: [  436.673722] rraa: 00:12:f0:98:10:f5 : tx_count: 64, tx_rate: 24M, loss ratio: 44, window size: 40
Mar 13 23:05:11 cs219-laptop kernel: [  436.674867] rraa: 06:20:a6:57:ff:32 : tx_count: 5133, tx_rate: 24M, loss ratio: 9, window size: 40
Mar 13 23:05:11 cs219-laptop kernel: [  436.685777] rraa: 06:20:a6:57:ff:32 : tx_count: 5173, tx_rate: 36M, loss ratio: 13, window size: 40
Mar 13 23:05:11 cs219-laptop kernel: [  436.693886] rraa: 06:20:a6:57:ff:32 : tx_count: 5253, tx_rate: 48M, loss ratio: 0, window size: 40
Mar 13 23:05:11 cs219-laptop kernel: [  436.704673] rraa: 06:20:a6:57:ff:32 : tx_count: 5333, tx_rate: 36M, loss ratio: 27, window size: 40
Mar 13 23:05:12 cs219-laptop kernel: [  436.711553] rraa: 06:20:a6:57:ff:32 : tx_count: 5371, tx_rate: 24M, loss ratio: 47, window size: 40
Mar 13 23:05:12 cs219-laptop kernel: [  436.714584] rraa: 06:20:a6:57:ff:32 : tx_count: 5411, tx_rate: 36M, loss ratio: 0, window size: 40
Mar 13 23:05:12 cs219-laptop kernel: [  436.732263] rraa: 06:20:a6:57:ff:32 : tx_count: 5530, tx_rate: 48M, loss ratio: 9, window size: 40
Mar 13 23:05:12 cs219-laptop kernel: [  436.735056] rraa: 06:20:a6:57:ff:32 : tx_count: 5570, tx_rate: 54M, loss ratio: 4, window size: 40
Mar 13 23:05:12 cs219-laptop kernel: [  436.737148] rraa: 06:20:a6:57:ff:32 : tx_count: 5610, tx_rate: 48M, loss ratio: 14, window size: 40
Mar 13 23:05:12 cs219-laptop kernel: [  436.739426] rraa: 06:20:a6:57:ff:32 : tx_count: 5650, tx_rate: 54M, loss ratio: 4, window size: 40
Mar 13 23:05:12 cs219-laptop kernel: [  436.745353] rraa: 06:20:a6:57:ff:32 : tx_count: 5690, tx_rate: 48M, loss ratio: 13, window size: 40
Mar 13 23:05:12 cs219-laptop kernel: [  436.754939] rraa: 06:20:a6:57:ff:32 : tx_count: 5810, tx_rate: 36M, loss ratio: 24, window size: 40
Mar 13 23:05:12 cs219-laptop kernel: [  436.768677] rraa: 06:20:a6:57:ff:32 : tx_count: 5849, tx_rate: 24M, loss ratio: 51, window size: 40
Mar 13 23:05:12 cs219-laptop kernel: [  436.773490] rraa: 06:20:a6:57:ff:32 : tx_count: 5889, tx_rate: 36M, loss ratio: 13, window size: 40
Mar 13 23:05:13 cs219-laptop kernel: [  436.776631] rraa: 06:20:a6:57:ff:32 : tx_count: 5929, tx_rate: 48M, loss ratio: 2, window size: 40
Mar 13 23:05:13 cs219-laptop kernel: [  436.781451] rraa: 06:20:a6:57:ff:32 : tx_count: 6009, tx_rate: 54M, loss ratio: 4, window size: 40
Mar 13 23:05:13 cs219-laptop kernel: [  436.783335] rraa: 06:20:a6:57:ff:32 : tx_count: 6049, tx_rate: 48M, loss ratio: 16, window size: 40
Mar 13 23:05:13 cs219-laptop kernel: [  436.803581] rraa: 06:20:a6:57:ff:32 : tx_count: 6084, tx_rate: 36M, loss ratio: 72, window size: 40
Mar 13 23:05:13 cs219-laptop kernel: [  436.810470] rraa: 06:20:a6:57:ff:32 : tx_count: 6204, tx_rate: 48M, loss ratio: 4, window size: 40
