Mar  1 19:48:59 cs219-laptop kernel: [   87.233746] rraac1: 06:20:a6:57:ff:32 : tx_count: 12147, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:49:00 cs219-laptop kernel: [   87.329411] rraac1: 06:20:a6:57:ff:32 : tx_count: 12907, tx_rate: 48M, loss ratio: 25, window size: 40
Mar  1 19:49:00 cs219-laptop kernel: [   87.343375] rraac1: 06:20:a6:57:ff:32 : tx_count: 13027, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:49:00 cs219-laptop kernel: [   87.401223] rraac1: 06:20:a6:57:ff:32 : tx_count: 13587, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:49:00 cs219-laptop kernel: [   87.405017] rraac1: 06:20:a6:57:ff:32 : tx_count: 13627, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:49:00 cs219-laptop kernel: [   87.410734] rraac1: 06:20:a6:57:ff:32 : tx_count: 13667, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:49:00 cs219-laptop kernel: [   87.426737] rraac1: 06:20:a6:57:ff:32 : tx_count: 13787, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:01 cs219-laptop kernel: [   87.437826] rraac1: 06:20:a6:57:ff:32 : tx_count: 13867, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 19:49:01 cs219-laptop kernel: [   87.456494] rraac1: 06:20:a6:57:ff:32 : tx_count: 13987, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:49:01 cs219-laptop kernel: [   87.473963] rraac1: 06:20:a6:57:ff:32 : tx_count: 14107, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 19:49:01 cs219-laptop kernel: [   87.482306] rraac1: 06:20:a6:57:ff:32 : tx_count: 14187, tx_rate: 54M, loss ratio: 0, window size: 40
