Mar  1 20:26:35 cs219-laptop kernel: [  275.446521] rraa: 06:20:a6:57:ff:32 : tx_count: 7248, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:35 cs219-laptop kernel: [  275.458796] rraa: 06:20:a6:57:ff:32 : tx_count: 7328, tx_rate: 48M, loss ratio: 45, window size: 40
Mar  1 20:26:35 cs219-laptop kernel: [  275.466825] rraa: 06:20:a6:57:ff:32 : tx_count: 7365, tx_rate: 36M, loss ratio: 66, window size: 40
Mar  1 20:26:35 cs219-laptop kernel: [  275.477136] rraa: 06:20:a6:57:ff:32 : tx_count: 7445, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:26:35 cs219-laptop kernel: [  275.494734] rraa: 06:20:a6:57:ff:32 : tx_count: 7565, tx_rate: 36M, loss ratio: 45, window size: 40
Mar  1 20:26:35 cs219-laptop kernel: [  275.503335] rraa: 06:20:a6:57:ff:32 : tx_count: 7645, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 20:26:35 cs219-laptop kernel: [  275.509576] rraa: 06:20:a6:57:ff:32 : tx_count: 7685, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:26:35 cs219-laptop kernel: [  275.516860] rraa: 06:20:a6:57:ff:32 : tx_count: 7765, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:35 cs219-laptop kernel: [  275.521639] rraa: 06:20:a6:57:ff:32 : tx_count: 7805, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:35 cs219-laptop kernel: [  275.529704] rraa: 06:20:a6:57:ff:32 : tx_count: 7885, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.577813] rraa: 06:20:a6:57:ff:32 : tx_count: 8245, tx_rate: 36M, loss ratio: 43, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.588381] rraa: 06:20:a6:57:ff:32 : tx_count: 8325, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.593248] rraa: 06:20:a6:57:ff:32 : tx_count: 8365, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.598071] rraa: 06:20:a6:57:ff:32 : tx_count: 8405, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.610417] rraa: 06:20:a6:57:ff:32 : tx_count: 8525, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.618878] rraa: 06:20:a6:57:ff:32 : tx_count: 8605, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.622885] rraa: 06:20:a6:57:ff:32 : tx_count: 8645, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.631873] rraa: 06:20:a6:57:ff:32 : tx_count: 8725, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.640196] rraa: 06:20:a6:57:ff:32 : tx_count: 8805, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.656522] rraa: 06:20:a6:57:ff:32 : tx_count: 8925, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.660972] rraa: 06:20:a6:57:ff:32 : tx_count: 8965, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.673206] rraa: 06:20:a6:57:ff:32 : tx_count: 9085, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.677359] rraa: 06:20:a6:57:ff:32 : tx_count: 9125, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.700517] rraa: 06:20:a6:57:ff:32 : tx_count: 9325, tx_rate: 48M, loss ratio: 38, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.705080] rraa: 06:20:a6:57:ff:32 : tx_count: 9365, tx_rate: 36M, loss ratio: 31, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.710954] rraa: 06:20:a6:57:ff:32 : tx_count: 9405, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 20:26:36 cs219-laptop kernel: [  275.716048] rraa: 06:20:a6:57:ff:32 : tx_count: 9445, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.724343] rraa: 06:20:a6:57:ff:32 : tx_count: 9525, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.740534] rraa: 06:20:a6:57:ff:32 : tx_count: 9685, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.754155] rraa: 06:20:a6:57:ff:32 : tx_count: 9805, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.761916] rraa: 06:20:a6:57:ff:32 : tx_count: 9885, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.778520] rraa: 06:20:a6:57:ff:32 : tx_count: 10045, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.781841] rraa: 06:20:a6:57:ff:32 : tx_count: 10085, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.795547] rraa: 06:20:a6:57:ff:32 : tx_count: 10205, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.798752] rraa: 06:20:a6:57:ff:32 : tx_count: 10245, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.811994] rraa: 06:20:a6:57:ff:32 : tx_count: 10365, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.816447] rraa: 06:20:a6:57:ff:32 : tx_count: 10405, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.828452] rraa: 06:20:a6:57:ff:32 : tx_count: 10525, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.837367] rraa: 06:20:a6:57:ff:32 : tx_count: 10565, tx_rate: 36M, loss ratio: 39, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.846210] rraa: 06:20:a6:57:ff:32 : tx_count: 10605, tx_rate: 24M, loss ratio: 35, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.852050] rraa: 06:20:a6:57:ff:32 : tx_count: 10645, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 20:26:37 cs219-laptop kernel: [  275.857150] rraa: 06:20:a6:57:ff:32 : tx_count: 10685, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 20:26:38 cs219-laptop kernel: [  275.862712] rraa: 06:20:a6:57:ff:32 : tx_count: 10725, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:38 cs219-laptop kernel: [  275.875092] rraa: 06:20:a6:57:ff:32 : tx_count: 10845, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:26:38 cs219-laptop kernel: [  275.878981] rraa: 06:20:a6:57:ff:32 : tx_count: 10885, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:38 cs219-laptop kernel: [  275.895922] rraa: 06:20:a6:57:ff:32 : tx_count: 11045, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:38 cs219-laptop kernel: [  275.908432] rraa: 06:20:a6:57:ff:32 : tx_count: 11165, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:38 cs219-laptop kernel: [  275.917443] rraa: 06:20:a6:57:ff:32 : tx_count: 11205, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 20:26:38 cs219-laptop kernel: [  275.925818] rraa: 06:20:a6:57:ff:32 : tx_count: 11245, tx_rate: 36M, loss ratio: 51, window size: 40
Mar  1 20:26:38 cs219-laptop kernel: [  275.935196] rraa: 06:20:a6:57:ff:32 : tx_count: 11325, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 20:26:38 cs219-laptop kernel: [  275.943799] rraa: 06:20:a6:57:ff:32 : tx_count: 11405, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:38 cs219-laptop kernel: [  275.960794] rraa: 06:20:a6:57:ff:32 : tx_count: 11565, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:26:38 cs219-laptop kernel: [  275.969073] rraa: 06:20:a6:57:ff:32 : tx_count: 11645, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:38 cs219-laptop kernel: [  275.995892] rraa: 06:20:a6:57:ff:32 : tx_count: 11885, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:38 cs219-laptop kernel: [  276.001375] rraa: 06:20:a6:57:ff:32 : tx_count: 11925, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:39 cs219-laptop kernel: [  276.056050] rraa: 06:20:a6:57:ff:32 : tx_count: 12445, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:26:39 cs219-laptop kernel: [  276.071703] rraa: 06:20:a6:57:ff:32 : tx_count: 12565, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:26:39 cs219-laptop kernel: [  276.080056] rraa: 06:20:a6:57:ff:32 : tx_count: 12645, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 20:26:39 cs219-laptop kernel: [  276.084157] rraa: 06:20:a6:57:ff:32 : tx_count: 12685, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:26:39 cs219-laptop kernel: [  276.096638] rraa: 06:20:a6:57:ff:32 : tx_count: 12805, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:39 cs219-laptop kernel: [  276.100417] rraa: 06:20:a6:57:ff:32 : tx_count: 12845, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.154162] rraa: 06:20:a6:57:ff:32 : tx_count: 13165, tx_rate: 48M, loss ratio: 27, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.168156] rraa: 06:20:a6:57:ff:32 : tx_count: 13285, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.176013] rraa: 06:20:a6:57:ff:32 : tx_count: 13325, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.182430] rraa: 06:20:a6:57:ff:32 : tx_count: 13365, tx_rate: 36M, loss ratio: 29, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.196469] rraa: 06:20:a6:57:ff:32 : tx_count: 13485, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.205669] rraa: 06:20:a6:57:ff:32 : tx_count: 13565, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.216000] rraa: 06:20:a6:57:ff:32 : tx_count: 13605, tx_rate: 48M, loss ratio: 28, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.219665] rraa: 06:20:a6:57:ff:32 : tx_count: 13645, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.223815] rraa: 06:20:a6:57:ff:32 : tx_count: 13685, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.227783] rraa: 06:20:a6:57:ff:32 : tx_count: 13725, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.240674] rraa: 06:20:a6:57:ff:32 : tx_count: 13845, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.244044] rraa: 06:20:a6:57:ff:32 : tx_count: 13885, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.249148] rraa: 06:20:a6:57:ff:32 : tx_count: 13925, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:26:40 cs219-laptop kernel: [  276.261243] rraa: 06:20:a6:57:ff:32 : tx_count: 14045, tx_rate: 54M, loss ratio: 2, window size: 40
