Mar  7 17:22:05 cs219-laptop kernel: [ 1436.105353] rraac4: 06:20:a6:57:ff:32 : tx_count: 9534, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  7 17:22:05 cs219-laptop kernel: [ 1436.171519] rraac4: 06:20:a6:57:ff:32 : tx_count: 9540, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  7 17:22:05 cs219-laptop kernel: [ 1436.240289] rraac4: 06:20:a6:57:ff:32 : tx_count: 9546, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  7 17:22:05 cs219-laptop kernel: [ 1436.311802] rraac4: 06:20:a6:57:ff:32 : tx_count: 9552, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  7 17:22:06 cs219-laptop kernel: [ 1436.410889] rraac4: 06:20:a6:57:ff:32 : tx_count: 9562, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  7 17:22:06 cs219-laptop kernel: [ 1436.896321] rraac4: 06:20:a6:57:ff:32 : tx_count: 9637, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  7 17:22:12 cs219-laptop kernel: [ 1438.178455] rraac4: 06:20:a6:57:ff:32 : tx_count: 9757, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  7 17:22:12 cs219-laptop kernel: [ 1438.402617] rraac4: 06:20:a6:57:ff:32 : tx_count: 9777, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  7 17:22:17 cs219-laptop kernel: [ 1442.886547] rraac4: 06:20:a6:57:ff:32 : tx_count: 10177, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  7 17:22:18 cs219-laptop kernel: [ 1443.782539] rraac4: 06:20:a6:57:ff:32 : tx_count: 10257, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:22:18 cs219-laptop kernel: [ 1444.230862] rraac4: 06:20:a6:57:ff:32 : tx_count: 10295, tx_rate: 36M, loss ratio: 75, window size: 40
Mar  7 17:22:22 cs219-laptop kernel: [ 1447.817477] rraac4: 06:20:a6:57:ff:32 : tx_count: 10615, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:22:22 cs219-laptop kernel: [ 1448.265808] rraac4: 06:20:a6:57:ff:32 : tx_count: 10655, tx_rate: 36M, loss ratio: 52, window size: 40
Mar  7 17:22:24 cs219-laptop kernel: [ 1450.059113] rraac4: 06:20:a6:57:ff:32 : tx_count: 10815, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:22:25 cs219-laptop kernel: [ 1450.510316] rraac4: 06:20:a6:57:ff:32 : tx_count: 10846, tx_rate: 36M, loss ratio: 85, window size: 40
Mar  7 17:22:36 cs219-laptop kernel: [ 1461.715613] rraac4: 06:20:a6:57:ff:32 : tx_count: 11846, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:22:36 cs219-laptop kernel: [ 1462.166531] rraac4: 06:20:a6:57:ff:32 : tx_count: 11863, tx_rate: 36M, loss ratio: 95, window size: 40
Mar  7 17:22:38 cs219-laptop kernel: [ 1464.407518] rraac4: 06:20:a6:57:ff:32 : tx_count: 12063, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:22:39 cs219-laptop kernel: [ 1464.853903] rraac4: 06:20:a6:57:ff:32 : tx_count: 12103, tx_rate: 36M, loss ratio: 60, window size: 40
Mar  7 17:22:42 cs219-laptop kernel: [ 1467.543867] rraac4: 06:20:a6:57:ff:32 : tx_count: 12343, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:22:47 cs219-laptop kernel: [ 1468.108719] rraac4: 06:20:a6:57:ff:32 : tx_count: 12379, tx_rate: 36M, loss ratio: 76, window size: 40
Mar  7 17:22:52 cs219-laptop kernel: [ 1472.589555] rraac4: 06:20:a6:57:ff:32 : tx_count: 12779, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:22:52 cs219-laptop kernel: [ 1473.038643] rraac4: 06:20:a6:57:ff:32 : tx_count: 12819, tx_rate: 36M, loss ratio: 67, window size: 40
Mar  7 17:23:04 cs219-laptop kernel: [ 1485.143484] rraac4: 06:20:a6:57:ff:32 : tx_count: 13898, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:23:05 cs219-laptop kernel: [ 1485.591035] rraac4: 06:20:a6:57:ff:32 : tx_count: 13937, tx_rate: 36M, loss ratio: 62, window size: 40
Mar  7 
