output format
<time> <packet count> <tx rate>

17:34:15 922, 24M
17:34:15 923, 24M
17:34:15 924, 24M
17:34:15 925, 24M
17:34:15 926, 24M
17:34:15 927, 24M
17:34:15 928, 24M
17:34:15 929, 24M
17:34:15 930, 24M
17:34:15 931, 24M
17:34:15 932, 24M
17:34:15 933, 24M
17:34:15 934, 24M
17:34:15 935, 24M
17:34:15 936, 24M
17:34:15 937, 24M
17:34:15 938, 24M
17:34:15 939, 24M
17:34:15 940, 24M
17:34:15 941, 24M
17:34:15 942, 24M
17:34:15 943, 24M
17:34:15 944, 24M
17:34:15 945, 24M
17:34:15 946, 24M
17:34:15 947, 24M
17:34:15 948, 24M
17:34:15 949, 24M
17:34:15 950, 24M
17:34:15 951, 24M
17:34:15 952, 24M
17:34:15 953, 24M
17:34:15 954, 24M
17:34:15 955, 24M
17:34:15 956, 24M
17:34:15 957, 24M
17:34:15 958, 24M
17:34:15 959, 24M
17:34:15 960, 24M
17:34:15 961, 24M
17:34:15 962, 24M
17:34:15 963, 24M
17:34:15 964, 24M
17:34:15 965, 24M
17:34:15 966, 24M
17:34:15 967, 24M
17:34:15 968, 24M
17:34:15 969, 24M
17:34:15 970, 24M
17:34:15 971, 24M
17:34:15 972, 24M
17:34:15 973, 24M
17:34:15 974, 24M
17:34:15 975, 24M
17:34:15 976, 24M
17:34:15 977, 24M
17:34:15 978, 24M
17:34:15 979, 24M
17:34:15 980, 24M
17:34:15 981, 24M
17:34:15 982, 24M
17:34:15 983, 24M
17:34:15 984, 24M
17:34:15 985, 24M
17:34:15 986, 24M
17:34:15 987, 24M
17:34:15 988, 24M
17:34:15 989, 24M
17:34:15 990, 24M
17:34:15 991, 24M
17:34:15 992, 24M
17:34:15 993, 24M
17:34:15 994, 24M
17:34:15 995, 24M
17:34:15 996, 24M
17:34:15 997, 24M
17:34:15 998, 24M
17:34:15 999, 24M
17:34:15 1000, 24M
17:34:15 1001, 24M
17:34:15 1002, 24M
17:34:15 1003, 24M
17:34:15 1004, 24M
17:34:15 1005, 24M
17:34:15 1006, 24M
17:34:15 1007, 24M
17:34:15 1008, 24M
17:34:15 1009, 24M
17:34:15 1010, 24M
17:34:15 1011, 24M
17:34:15 1012, 24M
17:34:15 1013, 24M
17:34:15 1014, 24M
17:34:15 1015, 24M
17:34:15 1016, 24M
17:34:15 1017, 24M
17:34:15 1018, 24M
17:34:15 1019, 24M
17:34:15 1020, 24M
17:34:15 1021, 24M
17:34:15 1022, 24M
17:34:15 1023, 24M
