Mar 13 22:50:43 cs219-laptop kernel: [  381.648435] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1367
Mar 13 22:50:43 cs219-laptop kernel: [  381.648442] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1367
Mar 13 22:50:43 cs219-laptop kernel: [  381.651931] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1433
Mar 13 22:50:43 cs219-laptop kernel: [  381.651938] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1433
Mar 13 22:50:43 cs219-laptop kernel: [  381.673833] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1530
Mar 13 22:50:43 cs219-laptop kernel: [  381.673842] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1530
Mar 13 22:50:43 cs219-laptop kernel: [  381.678486] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1565
Mar 13 22:50:43 cs219-laptop kernel: [  381.678494] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1565
Mar 13 22:50:43 cs219-laptop kernel: [  381.679078] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1565
Mar 13 22:50:43 cs219-laptop kernel: [  381.679086] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1565
Mar 13 22:50:43 cs219-laptop kernel: [  381.685199] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1631
Mar 13 22:50:43 cs219-laptop kernel: [  381.685206] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1631
Mar 13 22:50:43 cs219-laptop kernel: [  381.690770] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1662
Mar 13 22:50:43 cs219-laptop kernel: [  381.690780] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1662
Mar 13 22:50:44 cs219-laptop kernel: [  381.693358] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1697
Mar 13 22:50:44 cs219-laptop kernel: [  381.693366] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1697
Mar 13 22:50:44 cs219-laptop kernel: [  381.696434] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1728
Mar 13 22:50:44 cs219-laptop kernel: [  381.696441] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1728
Mar 13 22:50:44 cs219-laptop kernel: [  381.700721] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1763
