Mar 10 20:10:31 cs219-laptop kernel: [  806.101342] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 7148
Mar 10 20:10:31 cs219-laptop kernel: [  806.101352] 06:20:a6:57:ff:32 minstrel: tx_rate 11, packet_count 7148
Mar 10 20:10:31 cs219-laptop kernel: [  806.110490] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7148
Mar 10 20:10:31 cs219-laptop kernel: [  806.112013] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7179
Mar 10 20:10:31 cs219-laptop kernel: [  806.112020] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7179
Mar 10 20:10:31 cs219-laptop kernel: [  806.117572] 06:20:a6:57:ff:32 minstrel: tx_rate 11, packet_count 7179
Mar 10 20:10:31 cs219-laptop kernel: [  806.117580] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7179
Mar 10 20:10:31 cs219-laptop kernel: [  806.118944] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 7179
Mar 10 20:10:31 cs219-laptop kernel: [  806.118952] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7179
Mar 10 20:10:31 cs219-laptop kernel: [  806.121670] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7179
Mar 10 20:10:31 cs219-laptop kernel: [  806.121686] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7179
Mar 10 20:10:31 cs219-laptop kernel: [  806.121702] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 7179
Mar 10 20:10:31 cs219-laptop kernel: [  806.121710] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7179
Mar 10 20:10:31 cs219-laptop kernel: [  806.124878] 06:20:a6:57:ff:32 minstrel: tx_rate 11, packet_count 7214
Mar 10 20:10:31 cs219-laptop kernel: [  806.126229] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7214
Mar 10 20:10:31 cs219-laptop kernel: [  806.126247] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 7214
Mar 10 20:10:31 cs219-laptop kernel: [  806.127265] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7214
Mar 10 20:10:31 cs219-laptop kernel: [  806.141733] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7214
Mar 10 20:10:31 cs219-laptop kernel: [  806.141754] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 7214
Mar 10 20:10:31 cs219-laptop kernel: [  806.143655] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7245
Mar 10 20:10:32 cs219-laptop kernel: [  806.149361] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 7245
Mar 10 20:10:32 cs219-laptop kernel: [  806.149371] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7245
Mar 10 20:10:32 cs219-laptop kernel: [  806.151575] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7245
Mar 10 20:10:32 cs219-laptop kernel: [  806.151584] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7245
Mar 10 20:10:32 cs219-laptop kernel: [  806.157882] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7245
Mar 10 20:10:32 cs219-laptop kernel: [  806.157891] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7245
Mar 10 20:10:32 cs219-laptop kernel: [  806.159064] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 7280
Mar 10 20:10:32 cs219-laptop kernel: [  806.159072] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7280
Mar 10 20:10:32 cs219-laptop kernel: [  806.162162] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 7280
Mar 10 20:10:32 cs219-laptop kernel: [  806.162169] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7280
Mar 10 20:10:32 cs219-laptop kernel: [  806.167104] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7280
Mar 10 20:10:32 cs219-laptop kernel: [  806.177201] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 7311
Mar 10 20:10:32 cs219-laptop kernel: [  806.177210] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7311
Mar 10 20:10:32 cs219-laptop kernel: [  806.183685] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 7346
Mar 10 20:10:32 cs219-laptop kernel: [  806.183693] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7346
Mar 10 20:10:32 cs219-laptop kernel: [  806.186822] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 7346
Mar 10 20:10:32 cs219-laptop kernel: [  806.186829] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 7346
Mar 10 20:10:33 cs219-laptop kernel: [  806.197207] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 7377
Mar 10 20:10:33 cs219-laptop kernel: [  806.218688] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 7443
Mar 10 20:10:33 cs219-laptop kernel: [  806.218696] 06:20:a6:57:ff:32 minstrel: tx_rate 2, packet_count 7443
Mar 10 20:10:33 cs219-laptop kernel: [  806.222071] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 7478
Mar 10 20:10:33 cs219-laptop kernel: [  806.222079] 06:20:a6:57:ff:32 minstrel: tx_rate 2, packet_count 7478
Mar 10 20:10:34 cs219-laptop kernel: [  806.234047] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7478
Mar 10 20:10:34 cs219-laptop kernel: [  806.234055] 06:20:a6:57:ff:32 minstrel: tx_rate 2, packet_count 7478
Mar 10 20:10:34 cs219-laptop kernel: [  806.237557] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7509
Mar 10 20:10:34 cs219-laptop kernel: [  806.237565] 06:20:a6:57:ff:32 minstrel: tx_rate 2, packet_count 7509
Mar 10 20:10:34 cs219-laptop kernel: [  806.238810] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 7509
Mar 10 20:10:34 cs219-laptop kernel: [  806.238817] 06:20:a6:57:ff:32 minstrel: tx_rate 2, packet_count 7509
Mar 10 20:10:34 cs219-laptop kernel: [  806.241759] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 7509
Mar 10 20:10:34 cs219-laptop kernel: [  806.241767] 06:20:a6:57:ff:32 minstrel: tx_rate 2, packet_count 7509
Mar 10 20:10:34 cs219-laptop kernel: [  806.248523] 00:21:00:51:d3:be minstrel: tx_rate 1, packet_count 0
Mar 10 20:10:34 cs219-laptop kernel: [  806.248535] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7509
Mar 10 20:10:34 cs219-laptop kernel: [  806.250707] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 7544
Mar 10 20:10:34 cs219-laptop kernel: [  806.252276] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7544
Mar 10 20:10:34 cs219-laptop kernel: [  806.252297] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 7544
Mar 10 20:10:34 cs219-laptop kernel: [  806.253607] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7544
Mar 10 20:10:35 cs219-laptop kernel: [  806.260875] 06:20:a6:57:ff:32 minstrel: tx_rate 11, packet_count 7544
Mar 10 20:10:35 cs219-laptop kernel: [  806.270424] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 7575
Mar 10 20:10:35 cs219-laptop kernel: [  806.270433] 06:20:a6:57:ff:32 minstrel: tx_rate 11, packet_count 7575
Mar 10 20:10:35 cs219-laptop kernel: [  806.275152] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 7575
Mar 10 20:10:35 cs219-laptop kernel: [  806.275160] 06:20:a6:57:ff:32 minstrel: tx_rate 11, packet_count 7575
Mar 10 20:10:35 cs219-laptop kernel: [  806.277969] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7575
