Mar 10 19:02:21 cs219-laptop kernel: [  271.193739] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1207
Mar 10 19:02:21 cs219-laptop kernel: [  271.195074] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1207
Mar 10 19:02:21 cs219-laptop kernel: [  271.195081] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1207
Mar 10 19:02:21 cs219-laptop kernel: [  271.199813] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1239
Mar 10 19:02:21 cs219-laptop kernel: [  271.199821] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1239
Mar 10 19:02:21 cs219-laptop kernel: [  271.201748] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1273
Mar 10 19:02:21 cs219-laptop kernel: [  271.201755] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1273
Mar 10 19:02:21 cs219-laptop kernel: [  271.201761] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1273
Mar 10 19:02:21 cs219-laptop kernel: [  271.201767] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1273
Mar 10 19:02:21 cs219-laptop kernel: [  271.205702] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1305
Mar 10 19:02:21 cs219-laptop kernel: [  271.205709] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1305
Mar 10 19:02:21 cs219-laptop kernel: [  271.205715] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1305
Mar 10 19:02:21 cs219-laptop kernel: [  271.205721] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1305
Mar 10 19:02:21 cs219-laptop kernel: [  271.218732] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1305
Mar 10 19:02:21 cs219-laptop kernel: [  271.218746] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1305
Mar 10 19:02:21 cs219-laptop kernel: [  271.221337] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1305
Mar 10 19:02:21 cs219-laptop kernel: [  271.221349] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1305
Mar 10 19:02:21 cs219-laptop kernel: [  271.223034] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1339
Mar 10 19:02:21 cs219-laptop kernel: [  271.223042] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1339
Mar 10 19:02:22 cs219-laptop kernel: [  271.226812] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1339
Mar 10 19:02:22 cs219-laptop kernel: [  271.226824] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1339
Mar 10 19:02:22 cs219-laptop kernel: [  271.226830] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1339
