Mar  1 20:58:03 cs219-laptop kernel: [   73.293569] rraac3: 06:20:a6:57:ff:32 : tx_count: 14160, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.302513] rraac3: 06:20:a6:57:ff:32 : tx_count: 14199, tx_rate: 48M, loss ratio: 62, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.325700] rraac3: 06:20:a6:57:ff:32 : tx_count: 14399, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.329890] rraac3: 06:20:a6:57:ff:32 : tx_count: 14439, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.360301] rraac3: 06:20:a6:57:ff:32 : tx_count: 14679, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.364865] rraac3: 06:20:a6:57:ff:32 : tx_count: 14719, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.368781] rraac3: 06:20:a6:57:ff:32 : tx_count: 14759, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:58:04 cs219-laptop kernel: [   73.372714] rraac3: 06:20:a6:57:ff:32 : tx_count: 14799, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 20:58:04 cs219-laptop kernel: [   73.377975] rraac3: 06:20:a6:57:ff:32 : tx_count: 14839, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:58:04 cs219-laptop kernel: [   73.387200] rraac3: 06:20:a6:57:ff:32 : tx_count: 14878, tx_rate: 48M, loss ratio: 48, window size: 40
Mar  1 20:58:04 cs219-laptop kernel: [   73.391032] rraac3: 06:20:a6:57:ff:32 : tx_count: 14918, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:58:04 cs219-laptop kernel: [   73.399587] rraac3: 06:20:a6:57:ff:32 : tx_count: 14998, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 20:58:04 cs219-laptop kernel: [   73.413260] rraac3: 06:20:a6:57:ff:32 : tx_count: 15078, tx_rate: 36M, loss ratio: 40, window size: 40
