Feb 26 17:46:27 cs219-laptop kernel: [ 1328.641051] rraa: 06:20:a6:57:ff:32 : tx_count: 3121, tx_rate: 48M, loss ratio: 18, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.648688] rraa: 06:20:a6:57:ff:32 : tx_count: 3161, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.653558] rraa: 06:20:a6:57:ff:32 : tx_count: 3201, tx_rate: 48M, loss ratio: 9, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.658718] rraa: 06:20:a6:57:ff:32 : tx_count: 3241, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.663808] rraa: 06:20:a6:57:ff:32 : tx_count: 3281, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.671703] rraa: 06:20:a6:57:ff:32 : tx_count: 3321, tx_rate: 48M, loss ratio: 18, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.678523] rraa: 06:20:a6:57:ff:32 : tx_count: 3361, tx_rate: 48M, loss ratio: 21, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.682874] rraa: 06:20:a6:57:ff:32 : tx_count: 3401, tx_rate: 48M, loss ratio: 9, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.688586] rraa: 06:20:a6:57:ff:32 : tx_count: 3441, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.694271] rraa: 06:20:a6:57:ff:32 : tx_count: 3481, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.701495] rraa: 06:20:a6:57:ff:32 : tx_count: 3521, tx_rate: 48M, loss ratio: 21, window size: 40
