output format
<time> <tx rate>

17:46:54 24681, 48M,
17:46:54 24721, 54M,
17:46:54 24761, 48M,
17:46:54 24801, 48M,
17:46:55 24841, 48M,
17:46:55 24881, 48M,
17:46:55 24921, 54M,
17:46:55 24961, 48M,
17:46:55 25001, 48M,
17:46:55 25041, 48M,
17:46:55 25081, 48M,
17:46:55 25121, 54M,
17:46:55 25161, 48M,
17:46:55 25201, 48M,
17:46:55 25241, 48M,
17:46:55 25281, 54M,
17:46:55 25321, 54M,
17:46:55 25361, 48M,
17:46:55 25401, 48M,
17:46:55 25441, 48M,
17:46:55 25481, 54M,
17:46:55 25521, 54M,
17:46:55 25561, 48M,
17:46:55 25601, 48M,
17:46:55 25641, 48M,
17:46:55 25681, 48M,
17:46:56 25721, 48M,
17:46:56 25761, 48M,
17:46:56 25801, 48M,
17:46:56 25841, 48M,
17:46:56 25881, 54M,
17:46:56 25921, 48M,
17:46:56 25961, 48M,
17:46:56 26001, 48M,
17:46:56 26041, 48M,
17:46:56 26081, 48M,
17:46:56 26121, 48M,
17:46:56 26161, 48M,
17:46:56 26201, 48M,
17:46:56 26241, 48M,
17:46:56 26281, 48M,
17:46:56 26321, 48M,
17:46:56 26361, 48M,
17:46:56 26401, 54M,
17:46:56 26441, 48M,
17:46:56 26481, 48M,
17:46:56 26521, 54M,
17:46:56 26561, 54M,
17:46:56 26601, 48M,
17:46:56 26641, 48M,
17:46:57 26681, 48M,
17:46:57 26721, 54M,
17:46:57 26761, 54M,
17:46:57 26801, 54M,
17:46:57 26841, 48M,
17:46:57 26881, 48M,
17:46:57 26921, 54M,
17:46:57 26961, 54M,
17:46:57 27001, 48M,
17:46:57 27041, 48M,
17:46:57 27081, 48M,
17:46:57 27121, 48M,
17:46:57 27161, 48M,
17:46:57 27201, 48M,
17:46:57 27241, 48M,
17:46:57 27281, 48M,
17:46:57 27321, 48M,
17:46:57 27361, 48M,
17:46:57 27401, 48M,
17:46:57 27441, 48M,
17:46:57 27481, 48M,
17:46:57 27521, 48M,
17:46:57 27561, 48M,
17:46:57 27601, 48M,
17:46:57 27641, 48M,
17:46:58 27681, 48M,
17:46:58 27721, 48M,
17:46:58 27761, 48M,
17:46:58 27801, 48M,
17:46:58 27841, 48M,
17:46:58 27881, 54M,
17:46:58 27921, 54M,
17:46:58 27961, 48M,
17:46:58 28001, 48M,
17:46:58 28041, 48M,
17:46:58 28081, 48M,
17:46:58 28121, 54M,
17:46:58 28161, 48M,
17:46:58 28201, 48M,
17:46:58 28241, 48M,
17:46:58 28281, 48M,
17:46:58 28321, 48M,
17:46:58 28361, 48M,
17:46:58 28401, 48M,
17:46:58 28441, 48M,
17:46:59 28481, 54M,
17:46:59 28521, 48M,
